"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"【调试】打开列表页，停留长时间，打印文字内容并截图","18059","设备列表页渲染检查（调试截图）","ui_tests.tests","Mon Sep 21 02:29:14 UTC 2026","passed","Mon Sep 21 02:29:32 UTC 2026","","test_device_ui","",""
"验证状态显示","14","验证设备卡片状态显示","ui_tests.tests","Mon Sep 21 02:29:38 UTC 2026","passed","Mon Sep 21 02:29:38 UTC 2026","","test_device_ui","",""
"【详情层】验证产品名称绑定显示正确","9","验证产品名称绑定显示","ui_tests.tests","Mon Sep 21 02:29:50 UTC 2026","passed","Mon Sep 21 02:29:50 UTC 2026","","test_device_ui","",""
"【列表层】验证设备名称在卡片上展示","10","验证设备名称在卡片上展示","ui_tests.tests","Mon Sep 21 02:29:44 UTC 2026","passed","Mon Sep 21 02:29:44 UTC 2026","","test_device_ui","",""
